Primer		Frequency	Coverage (wrt taxa with accs)
2afb9ade5ef548f  	 49 	 0.5455 (48/88)
EUK14            	 47 	 0.5341 (47/88)
EUKA_0_14        	 48 	 0.5341 (47/88)
f4016724de60a2   	 48 	 0.5341 (47/88)
SSU_1_0          	 47 	 0.5227 (46/88)
1f290ab0e7a1e2f9 	 46 	 0.5 (44/88)
f4c85c492a0cfd5e 	 45 	 0.4886 (43/88)
76efaa23cc8d3e9e 	 45 	 0.4886 (43/88)
ec2eaae694fff4b8 	 45 	 0.4886 (43/88)
a924c6db025ae5a0 	 44 	 0.4886 (43/88)
596f4cc585696b19 	 44 	 0.4886 (43/88)
9d74b1229c16529  	 43 	 0.4773 (42/88)
d3eda69dfea3f5ac 	 42 	 0.4659 (41/88)
fca2f9e6c0e59229 	 42 	 0.4659 (41/88)
97fc7d5862babc3d 	 42 	 0.4659 (41/88)
8b361e74ad3fa1ba 	 42 	 0.4659 (41/88)
98cf34a91c541d18 	 42 	 0.4659 (41/88)
4a52210ee5635b15 	 42 	 0.4659 (41/88)
f78a345c7b156b0e 	 42 	 0.4659 (41/88)
1de4c3cf620bfff5 	 42 	 0.4659 (41/88)
aa29549feb3b89f2 	 42 	 0.4545 (40/88)
f35f832c7a0261da 	 42 	 0.4545 (40/88)
dbdb157671404503 	 41 	 0.4432 (39/88)
680321456f36650  	 41 	 0.4432 (39/88)
5d43c5ff422b44b1 	 39 	 0.4318 (38/88)
f9d0d5f327458a32 	 39 	 0.4318 (38/88)
dec7ec1cb24d44e6 	 38 	 0.4205 (37/88)
5822442614e4e22b 	 38 	 0.4205 (37/88)
3d076c664d1f9693 	 38 	 0.4205 (37/88)
17be1902b2330041 	 38 	 0.4205 (37/88)
dd5818658b96baac 	 37 	 0.4091 (36/88)
821307f69ef4796f 	 37 	 0.4091 (36/88)
217d2ff15376dcae 	 35 	 0.3977 (35/88)
c5a1230a834e3688 	 34 	 0.3864 (34/88)
4a420713b09f312e 	 34 	 0.3864 (34/88)
b3693ebdb2f0ef87 	 34 	 0.3864 (34/88)
8d2cee9a0862859c 	 34 	 0.3864 (34/88)
f9972c10e7dfb192 	 34 	 0.3864 (34/88)
58e327cc479707ed 	 34 	 0.3864 (34/88)
cf00621f01cb8256 	 34 	 0.3864 (34/88)
fceb1c2182fbac05 	 33 	 0.375 (33/88)
13a3c5f94860337d 	 33 	 0.375 (33/88)
432bc7e8a943d5ec 	 33 	 0.375 (33/88)
accc5fc498232e38 	 33 	 0.375 (33/88)
e409707588a0d33d 	 33 	 0.375 (33/88)
5dc381d8be7f0a6  	 33 	 0.375 (33/88)
99d39973676b768a 	 32 	 0.3636 (32/88)
84708c8ef18be00d 	 32 	 0.3636 (32/88)
890fdecced0d279  	 32 	 0.3636 (32/88)
87bf452ae7b252c1 	 32 	 0.3636 (32/88)
e1ba37d028c3973d 	 31 	 0.3523 (31/88)
87f1b6dceec24df0 	 31 	 0.3523 (31/88)
16c41d68b6ed4b9b 	 31 	 0.3523 (31/88)
nSSU             	 12 	 0.1364 (12/88)
EUK15_1_0        	 10 	 0.1136 (10/88)
