Primer		Frequency	Coverage (wrt taxa with accs)
SSU_1_0          	 241 	 0.6932 (235/339)
EUKA_0_14        	 238 	 0.6844 (232/339)
DIAZ             	 236 	 0.6785 (230/339)
EUK14            	 229 	 0.6608 (224/339)
96c04483d9557b08 	 234 	 0.6549 (222/339)
45721ed6e7c85dc5 	 234 	 0.6549 (222/339)
208b61125f8b20e5 	 234 	 0.6549 (222/339)
f3a49c1ab7d6bd7a 	 205 	 0.59 (200/339)
45cdfc4f3f0bf574 	 205 	 0.59 (200/339)
5912d40d93755edb 	 205 	 0.59 (200/339)
cce22a01d74086cd 	 197 	 0.5782 (196/339)
b219882cccccea15 	 197 	 0.5782 (196/339)
8d14274d691d15e5 	 197 	 0.5782 (196/339)
64b8d5763355c902 	 197 	 0.5782 (196/339)
613220b76d98217f 	 197 	 0.5782 (196/339)
cdd6d4cea2bf8b29 	 197 	 0.5782 (196/339)
d971a155da063b17 	 197 	 0.5782 (196/339)
ea071558165aadf7 	 197 	 0.5782 (196/339)
a5aca2d505cdef5d 	 197 	 0.5782 (196/339)
927462fc65553503 	 197 	 0.5782 (196/339)
d08bf8c865b6fd4c 	 197 	 0.5782 (196/339)
33c14baf2ac76276 	 197 	 0.5752 (195/339)
b648764b53546e0b 	 205 	 0.5634 (191/339)
8126a1ddf87b217e 	 205 	 0.5634 (191/339)
b977f0e48c943847 	 205 	 0.5634 (191/339)
c249a92fe1655a02 	 192 	 0.5634 (191/339)
ed8d113d834f2b25 	 193 	 0.5634 (191/339)
bd0cdad9d7694e4e 	 203 	 0.5546 (188/339)
2b93165c9f7ecd03 	 203 	 0.5546 (188/339)
6fe81419dcd2b779 	 203 	 0.5546 (188/339)
61e9a893adb27196 	 203 	 0.5546 (188/339)
382a6c2b73e9f8ac 	 203 	 0.5546 (188/339)
709769ac795ff287 	 203 	 0.5546 (188/339)
b08d45a4009f5bce 	 203 	 0.5546 (188/339)
d2ed743e6e35227d 	 203 	 0.5546 (188/339)
35050c2634d666c7 	 202 	 0.5546 (188/339)
39745e940895b9e6 	 202 	 0.5546 (188/339)
38d2f61cab8041ad 	 202 	 0.5546 (188/339)
1d5c912862c2270b 	 178 	 0.5192 (176/339)
d5a38a5c7f461291 	 172 	 0.5015 (170/339)
2a63df40bf325dc3 	 172 	 0.5015 (170/339)
246f37228ca4a108 	 172 	 0.4867 (165/339)
c57f861c24ad8a9a 	 172 	 0.4867 (165/339)
7d7b4667219a1c0  	 172 	 0.4867 (165/339)
nSSU             	 71 	 0.2065 (70/339)
9755a7d662f224de 	 15 	 0.0442 (15/339)
1cf005400bba753b 	 15 	 0.0442 (15/339)
1999bdc9799bcb8f 	 15 	 0.0442 (15/339)
3f707315646af62  	 15 	 0.0442 (15/339)
85cc935dc6bb4d5b 	 15 	 0.0442 (15/339)
2bdb09aaa30e95f5 	 15 	 0.0442 (15/339)
4483a21445fe8a70 	 15 	 0.0442 (15/339)
40fff34955ee6f7b 	 15 	 0.0442 (15/339)
ce05d0785c49f512 	 15 	 0.0442 (15/339)
b4f156a918277f3b 	 15 	 0.0442 (15/339)
DIV4             	 3 	 0.0088 (3/339)
EUK15_3_2        	 1 	 0.0029 (1/339)
