Primer		Frequency	Coverage (wrt taxa with accs)
412d47502c9c1b   	 248 	 0.657 (226/344)
c360cb604e349623 	 248 	 0.657 (226/344)
ec35373b4dc3de70 	 248 	 0.657 (226/344)
bee0d01c288a7e1a 	 248 	 0.657 (226/344)
374fda4f857192ed 	 248 	 0.657 (226/344)
a31a30b275898622 	 248 	 0.657 (226/344)
94fec7287dfaceca 	 248 	 0.657 (226/344)
f0372506e5daf26e 	 247 	 0.6541 (225/344)
bef0f2de53d444ca 	 247 	 0.6541 (225/344)
EUK14            	 237 	 0.6483 (223/344)
8d14274d691d15e5 	 234 	 0.6424 (221/344)
cdd6d4cea2bf8b29 	 234 	 0.6424 (221/344)
b219882cccccea15 	 232 	 0.6366 (219/344)
cce22a01d74086cd 	 232 	 0.6366 (219/344)
c249a92fe1655a02 	 228 	 0.625 (215/344)
EUK15_1_0        	 223 	 0.6076 (209/344)
33c14baf2ac76276 	 219 	 0.5988 (206/344)
7ad836295009433f 	 217 	 0.5959 (205/344)
52dd3de05ca7b1d5 	 201 	 0.5029 (173/344)
1406f92f31b9830f 	 199 	 0.5029 (173/344)
d543cb5f290451de 	 199 	 0.5029 (173/344)
80fddfbc4ca355f3 	 199 	 0.5029 (173/344)
3137a7a5b043e1a2 	 199 	 0.5029 (173/344)
e36c0df861aa3f63 	 199 	 0.5029 (173/344)
29464dfdd1f6cb1a 	 198 	 0.5 (172/344)
5aec0f59bce35fdf 	 193 	 0.4855 (167/344)
814184413f1d1d54 	 193 	 0.4855 (167/344)
9bd6242e03d37ae8 	 193 	 0.4855 (167/344)
53c11b9b47fb9475 	 192 	 0.4826 (166/344)
1bb1899edd4b4101 	 192 	 0.4826 (166/344)
2d78a48866b016aa 	 192 	 0.4826 (166/344)
94766b742c71927c 	 192 	 0.4826 (166/344)
524ead2d9937f414 	 192 	 0.4826 (166/344)
92b0389c824e34bb 	 192 	 0.4826 (166/344)
4e8e35707459f365 	 192 	 0.4826 (166/344)
89e6012a71ff9477 	 192 	 0.4826 (166/344)
76df2104114f1578 	 189 	 0.4855 (167/344)
c53b3d5b1b4523b4 	 188 	 0.4826 (166/344)
3c52e0732b12948e 	 188 	 0.4826 (166/344)
ec1cca697ef9144f 	 188 	 0.4826 (166/344)
68b2c80c427320d0 	 188 	 0.4826 (166/344)
a1948a0e7649bdac 	 188 	 0.4826 (166/344)
6a76915eafc3d973 	 187 	 0.4797 (165/344)
f018ca703ff08340 	 187 	 0.4797 (165/344)
9785f70bc14ee859 	 187 	 0.4797 (165/344)
b80e7c2192ac9ca  	 187 	 0.4797 (165/344)
8255dd01bc215a53 	 187 	 0.4797 (165/344)
60e84f3dc9cacb3a 	 186 	 0.4767 (164/344)
c9ed1e448796975e 	 168 	 0.436 (150/344)
8f945fba19aab223 	 167 	 0.4331 (149/344)
682100ad4c9c0a30 	 167 	 0.4593 (158/344)
b96f1b23e86e955  	 165 	 0.4506 (155/344)
SSU_1_0          	 60 	 0.1628 (56/344)
nSSU             	 54 	 0.157 (54/344)
EUKA_0_14        	 13 	 0.0378 (13/344)
23S_0_0          	 9 	 0.0262 (9/344)

