Primer		Frequency	Coverage (wrt taxa with accs)
eb59a790ece1766  	 35 	 0.2319 (32/138)
2af6ef6047d0f3fd 	 35 	 0.2319 (32/138)
1ab8e419640a607d 	 35 	 0.2319 (32/138)
79d64d635f9e91fd 	 35 	 0.2246 (31/138)
aee2b6aa8e52ef33 	 35 	 0.2246 (31/138)
f54e072d8251fb64 	 35 	 0.2246 (31/138)
83785330c70ecfb7 	 34 	 0.2174 (30/138)
386b984c12c5e69b 	 34 	 0.2174 (30/138)
bfa3b8f758c506b2 	 34 	 0.2174 (30/138)
54aa1c00692806c5 	 34 	 0.2174 (30/138)
8389f829582a6e2f 	 34 	 0.2174 (30/138)
8cad2e02615b5e4b 	 34 	 0.2174 (30/138)
c1cb9a626a009b61 	 34 	 0.2174 (30/138)
49775098e9ef2496 	 34 	 0.2174 (30/138)
97c031dfee1fa0f7 	 34 	 0.2174 (30/138)
c4871e262e94b496 	 34 	 0.2174 (30/138)
3a234271fa5bedb2 	 34 	 0.2174 (30/138)
9837620a162c3e1e 	 34 	 0.2174 (30/138)
d2f703e5f5058947 	 34 	 0.2174 (30/138)
d818f78523fdaaac 	 34 	 0.2174 (30/138)
121d9bc0d20af567 	 34 	 0.2174 (30/138)
d8d47dc9b873d02b 	 31 	 0.2174 (30/138)
b21424f7ec6f11bd 	 32 	 0.2174 (30/138)
77195c17e19088c1 	 32 	 0.2174 (30/138)
d4dbf7f195e7b295 	 32 	 0.2174 (30/138)
f255ae18c7746d99 	 32 	 0.2174 (30/138)
bb8f457137aca76e 	 32 	 0.2174 (30/138)
98656406f065f295 	 32 	 0.2174 (30/138)
2c76bd864182732e 	 32 	 0.2174 (30/138)
f52161c40fde9ae4 	 32 	 0.2174 (30/138)
d95d07d597000cfe 	 32 	 0.2174 (30/138)
EUK14            	 30 	 0.2101 (29/138)
e3cfd0e44daf2a51 	 31 	 0.2101 (29/138)
EUKA_0_14        	 30 	 0.2101 (29/138)
d2a51ed3fcddb6ba 	 30 	 0.2029 (28/138)
4a55fd1a7a6506f2 	 29 	 0.2029 (28/138)
a93561bb55f67431 	 31 	 0.1957 (27/138)
7ff69bc674e86b88 	 29 	 0.1957 (27/138)
3c0f840ac8325572 	 29 	 0.1957 (27/138)
571b529348bae014 	 28 	 0.1957 (27/138)
99ad9d670c2ad    	 28 	 0.1957 (27/138)
9c3c10f2f40d996c 	 28 	 0.1957 (27/138)
8877942fab0033d9 	 28 	 0.1957 (27/138)
d278c56fb8d2179f 	 28 	 0.1957 (27/138)
52519e377d7fafd  	 28 	 0.1957 (27/138)
2d37010653bf46c  	 28 	 0.1957 (27/138)
SSU_1_0          	 27 	 0.1884 (26/138)
7a2e1511f8173d62 	 27 	 0.1884 (26/138)
4ac1f7b2bce22130 	 27 	 0.1884 (26/138)
7067767041eb6673 	 27 	 0.1884 (26/138)
427f3562d5d075ff 	 27 	 0.1884 (26/138)
be7147b181fa745c 	 27 	 0.1884 (26/138)
26ebe8c7c761bbd5 	 18 	 0.1087 (15/138)
23S_0_0          	 4 	 0.029 (4/138)
